customer_id,name,email,age,churned
1,Tina Jones,tina.jones@demo.org,61,1
2,Paula Brown,paula.brown@mail.com,33,0
3,Tina Jones,tina.jones@mail.com,44,0
4,Xavier Smith,xavier.smith@mail.com,64,1
5,Kevin Jones,kevin.jones@mail.com,21,1
6,Fiona Miller,fiona.miller@test.com,54,1
7,Rachel Jones,rachel.jones@example.com,18,1
8,Laura Miller,laura.miller@test.com,65,1
9,Diana Jones,diana.jones@demo.org,39,1
10,Uma Smith,uma.smith@example.com,31,0
11,Paula Miller,paula.miller@example.com,48,0
12,George Williams,george.williams@demo.org,26,1
13,Quinn Brown,quinn.brown@example.com,42,1
14,Charlie Brown,charlie.brown@mail.com,37,0
15,Alice Smith,alice.smith@mail.com,38,0
16,Hannah Williams,hannah.williams@test.com,31,0
17,Diana Jones,diana.jones@mail.com,44,1
18,Yara Jones,yara.jones@example.com,33,1
19,Oscar Johnson,oscar.johnson@example.com,59,1
20,Julia Jones,julia.jones@test.com,44,1
21,Quinn Smith,quinn.smith@test.com,24,1
22,Rachel Miller,rachel.miller@example.com,23,0
23,Charlie Jones,charlie.jones@demo.org,53,1
24,Mike Miller,mike.miller@test.com,42,1
25,Edward Brown,edward.brown@mail.com,43,1
26,Quinn Jones,quinn.jones@demo.org,45,1
27,Xavier Miller,xavier.miller@test.com,52,1
28,Rachel Smith,rachel.smith@example.com,26,0
29,Charlie Jones,charlie.jones@mail.com,65,1
30,Mike Miller,mike.miller@mail.com,56,0
31,Julia Smith,julia.smith@example.com,39,1
32,Edward Jones,edward.jones@mail.com,62,1
33,Victor Jones,victor.jones@mail.com,48,1
34,Paula Jones,paula.jones@test.com,52,0
35,Xavier Brown,xavier.brown@test.com,64,1
36,Quinn Smith,quinn.smith@example.com,48,0
37,Edward Miller,edward.miller@mail.com,51,1
38,Laura Johnson,laura.johnson@mail.com,59,0
39,Edward Miller,edward.miller@demo.org,34,0
40,Oscar Miller,oscar.miller@demo.org,34,0
41,Xavier Jones,xavier.jones@mail.com,60,1
42,Tina Smith,tina.smith@mail.com,46,1
43,Xavier Brown,xavier.brown@demo.org,44,0
44,Xavier Miller,xavier.miller@example.com,56,0
45,Xavier Brown,xavier.brown@demo.org,58,1
46,George Miller,george.miller@mail.com,25,0
47,Ian Jones,ian.jones@mail.com,63,1
48,Edward Miller,edward.miller@example.com,55,0
49,Zack Jones,zack.jones@test.com,47,1
50,Quinn Williams,quinn.williams@test.com,32,0
51,Edward Smith,edward.smith@demo.org,63,1
52,Edward Smith,edward.smith@example.com,22,1
53,Oscar Miller,oscar.miller@test.com,59,0
54,Quinn Smith,quinn.smith@demo.org,26,1
55,Fiona Williams,fiona.williams@example.com,36,0
56,Wendy Johnson,wendy.johnson@test.com,20,1
57,Xavier Johnson,xavier.johnson@mail.com,39,1
58,Rachel Brown,rachel.brown@example.com,30,0
59,Victor Brown,victor.brown@example.com,34,0
60,Alice Brown,alice.brown@test.com,49,1
61,Tina Miller,tina.miller@example.com,37,0
62,Laura Williams,laura.williams@test.com,57,0
63,Edward Johnson,edward.johnson@demo.org,52,1
64,Nina Miller,nina.miller@example.com,34,1
65,Xavier Smith,xavier.smith@mail.com,38,1
66,Steve Brown,steve.brown@example.com,42,0
67,Tina Jones,tina.jones@test.com,34,0
68,Alice Jones,alice.jones@test.com,39,1
69,Uma Williams,uma.williams@demo.org,51,1
70,Kevin Johnson,kevin.johnson@example.com,23,1
71,Fiona Miller,fiona.miller@test.com,60,1
72,Edward Johnson,edward.johnson@mail.com,54,1
73,Oscar Brown,oscar.brown@demo.org,46,0
74,Paula Smith,paula.smith@example.com,52,0
75,Uma Miller,uma.miller@example.com,51,0
76,Yara Smith,yara.smith@example.com,26,0
77,Yara Williams,yara.williams@example.com,52,0
78,Wendy Jones,wendy.jones@test.com,35,1
79,Zack Williams,zack.williams@example.com,33,1
80,Charlie Brown,charlie.brown@test.com,28,1
81,Laura Jones,laura.jones@mail.com,57,0
82,Xavier Johnson,xavier.johnson@test.com,61,1
83,Victor Miller,victor.miller@mail.com,20,0
84,Alice Jones,alice.jones@mail.com,37,1
85,Victor Jones,victor.jones@mail.com,61,1
86,Yara Jones,yara.jones@demo.org,33,0
87,Tina Jones,tina.jones@test.com,37,0
88,Yara Williams,yara.williams@demo.org,21,1
89,Mike Brown,mike.brown@mail.com,21,0
90,Zack Jones,zack.jones@test.com,27,0
91,Alice Williams,alice.williams@mail.com,41,1
92,Victor Smith,victor.smith@mail.com,26,1
93,Tina Brown,tina.brown@mail.com,60,1
94,Hannah Smith,hannah.smith@demo.org,25,0
95,Julia Jones,julia.jones@test.com,53,0
96,Rachel Jones,rachel.jones@example.com,57,0
97,Xavier Smith,xavier.smith@test.com,34,0
98,Oscar Smith,oscar.smith@mail.com,45,0
99,Paula Williams,paula.williams@test.com,29,1
100,Zack Brown,zack.brown@mail.com,39,1
